UniProt ID,Gene,Protein,#SNP,r2,EXT1.r2,EXT2.r2
P04792,HSPB1,Heat shock protein beta-1,20,0.04,0.18,0.03
P51671,CCL11,Eotaxin,11,0.04,0.06,0.0
P49771,FLT3LG,Fms-related tyrosine kinase 3 ligand,5,0.04,0.06,0.08
P06127,CD5,T-cell surface glycoprotein CD5,15,0.04,0.03,0.02
Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor,20,0.04,0.03,0.03
P39905,GDNF,Glial cell line-derived neurotrophic factor,9,0.04,0.0,0.06
P00749,PLAU,Urokinase-type plasminogen activator,11,0.04,0.06,0.04
Q14108,SCARB2,Lysosome membrane protein 2,37,0.04,0.07,0.03
P16284,PECAM1,Platelet endothelial cell adhesion molecule,28,0.03,0.15,0.04
P10451,SPP1,Osteopontin,40,0.03,0.01,0.01
O43915,VEGFD,Vascular endothelial growth factor D,19,0.03,0.01,0.02
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,20,0.03,0.03,0.02
P24394,IL4R,Interleukin-4 receptor subunit alpha,17,0.03,0.06,0.04
Q99969,RARRES2,Retinoic acid receptor responder protein 2,14,0.03,0.02,0.0
Q9UIB8,CD84,SLAM family member 5,8,0.03,0.07,0.02
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,26,0.03,0.0,0.0
P22301,IL10,Interleukin-10,9,0.03,0.0,0.0
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,16,0.03,0.07,0.02
P09601,HMOX1,Heme oxygenase 1,11,0.03,0.03,0.03
O75594,PGLYRP1,Peptidoglycan recognition protein 1,11,0.03,0.06,0.01
P12104,FABP2,Fatty acid-binding protein  intestinal,43,0.03,0.04,0.03
P30530,AXL,Tyrosine-protein kinase receptor UFO,16,0.03,0.02,0.01
Q9H2A7,CXCL16,C-X-C motif chemokine 16,21,0.03,0.05,0.01
Q99523,SORT1,Sortilin,15,0.03,0.07,0.02
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein,8,0.03,0.01,0.0
P25445,FAS,Tumor necrosis factor receptor superfamily member 6,13,0.03,0.06,0.01
P05107,ITGB2,Integrin beta-2,9,0.03,0.0,0.01
P41217,CD200,OX-2 membrane glycoprotein,13,0.03,0.11,0.03
P14384,CPM,Carboxypeptidase M,9,0.03,0.02,0.0
P08253,MMP2,72 kDa type IV collagenase,25,0.03,0.02,0.0
Q9BWV1,BOC,Brother of CDO,7,0.03,0.04,0.03
P05231,IL6,Interleukin-6,3,0.03,0.03,0.02
P15086,CPB1,Carboxypeptidase B,19,0.03,0.03,0.03
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12,46,0.03,0.03,0.0
P09341,CXCL1,Growth-regulated alpha protein,13,0.03,0.11,0.12
Q07325,CXCL9,C-X-C motif chemokine 9,10,0.03,0.03,0.01
Q9BUD6,SPON2,Spondin-2,21,0.03,0.01,0.03
P01137,TGFB1,Transforming growth factor beta-1 proprotein,6,0.03,0.07,0.02
P78380,OLR1,Oxidized low-density lipoprotein receptor 1,17,0.02,0.0,0.0
Q9GZV9,FGF23,Fibroblast growth factor 23,13,0.02,0.0,0.0
P07711,CTSL,Procathepsin L,10,0.02,0.05,0.02
Q6NW40,RGMB,RGM domain family member B,16,0.02,0.1,0.02
O15169,AXIN1,Axin-1,15,0.02,0.0,0.0
Q2MKA7,RSPO1,R-spondin-1,12,0.02,0.03,0.05
Q9NSA1,FGF21,Fibroblast growth factor 21,7,0.02,0.05,0.05
P09603,CSF1,Macrophage colony-stimulating factor 1,16,0.02,0.02,0.01
P35318,ADM,Pro-adrenomedullin,22,0.02,0.02,0.0
O95998,IL18BP,Interleukin-18-binding protein,12,0.02,0.02,0.01
O15197,EPHB6,Ephrin type-B receptor 6,13,0.02,0.08,0.03
Q96GW7,BCAN,Brevican core protein,4,0.02,0.03,0.01
Q15109,AGER,Advanced glycosylation end product-specific receptor,13,0.02,0.04,0.01
O14625,CXCL11,C-X-C motif chemokine 11,6,0.02,0.01,0.03
P02760,AMBP,Protein AMBP,3,0.02,0.04,0.01
P42574,CASP3,Caspase-3,13,0.02,0.0,0.0
Q16651,PRSS8,Prostasin,4,0.02,0.0,0.01
P12644,BMP4,Bone morphogenetic protein 4,6,0.02,0.0,0.02
P54760,EPHB4,Ephrin type-B receptor 4,14,0.02,0.02,0.02
Q92876,KLK6,Kallikrein-6,4,0.02,0.01,0.01
Q16288,NTRK3,NT-3 growth factor receptor,7,0.02,0.04,0.02
P00797,REN,Renin,7,0.02,0.01,0.0
P80098,CCL7,C-C motif chemokine 7,4,0.02,0.0,0.04
P41271,NBL1,Neuroblastoma suppressor of tumorigenicity 1,12,0.02,0.01,0.0
Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,6,0.02,0.06,0.01
P15085,CPA1,Carboxypeptidase A1,6,0.02,0.02,0.01
Q99075,HBEGF,Proheparin-binding EGF-like growth factor,5,0.02,0.0,0.01
P13725,OSM,Oncostatin-M,7,0.02,0.01,0.01
P02452,COL1A1,Collagen alpha-1,2,0.02,0.0,0.0
P01127,PDGFB,Platelet-derived growth factor subunit B,3,0.02,0.06,0.0
O60609,GFRA3,GDNF family receptor alpha-3,7,0.02,0.01,0.02
P04275,VWF,von Willebrand factor,7,0.02,0.02,0.06
O94907,DKK1,Dickkopf-related protein 1,13,0.02,0.02,0.0
P29965,CD40LG,CD40 ligand,4,0.02,0.0,0.0
P40225,THPO,Thrombopoietin,2,0.01,0.01,0.01
P57087,JAM2,Junctional adhesion molecule B,4,0.01,0.0,0.0
Q9BYF1,ACE2,Angiotensin-converting enzyme 2,10,0.01,0.01,0.03
O95750,FGF19,Fibroblast growth factor 19,13,0.01,0.01,0.02
O00626,CCL22,C-C motif chemokine 22,7,0.01,0.01,
P14780,MMP9,Matrix metalloproteinase-9,9,0.01,0.0,0.0
Q15389,ANGPT1,Angiopoietin-1,11,0.01,0.01,0.0
P04085,PDGFA,Platelet-derived growth factor subunit A,11,0.01,0.01,0.0
P21980,TGM2,Protein-glutamine gamma-glutamyltransferase 2,2,0.01,0.01,0.02
Q9P126,CLEC1B,C-type lectin domain family 1 member B,3,0.01,0.0,0.0
P19883,FST,Follistatin,4,0.01,0.01,0.01
O14594,NCAN,Neurocan core protein,3,0.01,0.01,0.0
Q9HCK4,ROBO2,Roundabout homolog 2,4,0.01,0.01,0.01
P13232,IL7,Interleukin-7,1,0.01,0.0,0.01
P04179,SOD2,Superoxide dismutase,5,0.01,0.02,0.0
Q9NZQ7,CD274,Programmed cell death 1 ligand 1,1,0.01,0.0,0.0
P09919,CSF3,Granulocyte colony-stimulating factor,1,0.01,0.01,0.0
O75509,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,1,0.01,,0.0
P23560,BDNF,Brain-derived neurotrophic factor,1,0.01,0.0,
Q9UJM8,HAO1,Hydroxyacid oxidase 1,1,0.01,0.0,0.0
P05121,SERPINE1,Plasminogen activator inhibitor 1,1,0.01,0.0,0.0
Q08629,SPOCK1,Testican-1,2,0.01,0.03,0.0
P00533,EGFR,Epidermal growth factor receptor,1,0.01,0.02,
P05112,IL4,Interleukin-4,1,0.01,0.01,0.0
P78556,CCL20,C-C motif chemokine 20,2,0.01,0.0,0.0
O00253,AGRP,Agouti-related protein,1,0.01,0.0,0.0
P10145,CXCL8,Interleukin-8,1,0.01,0.0,0.01
Q16620,NTRK2,BDNF/NT-3 growth factors receptor,1,0.01,0.0,0.0
P02144,MB,Myoglobin,2,0.01,0.0,0.0
P35225,IL13,Interleukin-13,1,0.01,,
Q9NRJ3,CCL28,C-C motif chemokine 28,1,0.01,0.0,0.0
P19438,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,1,0.01,0.0,0.0
Q16698,DECR1,2 4-dienoyl-CoA reductase  mitochondrial,1,0.01,,0.01
P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,1,0.01,0.04,0.01
P25116,F2R,Proteinase-activated receptor 1,2,0.01,0.02,0.0
Q9UKP3,ITGB1BP2,Integrin beta-1-binding protein 2,1,0.01,0.0,0.0
O95630,STAMBP,STAM-binding protein,1,0.01,,
Q9Y6K9,IKBKG,NF-kappa-B essential modulator,1,0.01,0.0,0.0
Q9Y624,F11R,Junctional adhesion molecule A,1,0.01,0.0,0.0
